OWNER_ID,ID_TYPE,LICENSE_PLATE,VEHICLE_MODEL,VEHICLE_TYPE,REG_DATE,IU,MFT_YR,VEHICLE_REGISTRATION_NO,VEHICLE_COLOR
WAUDGAFL8EA847710,1,2V4RW3DG6BR412582,Passat,Volkswagen,10/3/2017 4:41,5TDBY5G17BS725561,1998,a678f4db-2e67-4abc-88a5-d9c534362c59,Aquamarine
WAURD68D81A833253,1,WAUVC58E84A967902,XK,Jaguar,7/26/2019 14:32,3N1CE2CP3FL409529,1997,693f62f0-a8f2-4ead-a4a8-211862ea7d51,Fuscia
1G6DA8E50D0004978,1,1FBNE3BL8BD643905,Golf III,Volkswagen,11/9/2021 10:46,1D4PT4GK8BW903486,2001,6feb5d68-f490-4eb8-a7ca-4db0b1af14ed,Indigo
3N6CM0KN2EK757358,1,WAUKF98PX9A310884,H2,Hummer,4/4/2018 17:07,5NPDH4AE6DH365299,2007,79affcf0-9373-4193-a920-7c4e8dd7a58d,Turquoise
JN8AE2KP6C9167012,1,3VWAL7AJ5AM130427,F-Series,Ford,4/2/2018 11:14,1FMEU7FE5AU018065,2006,a356a3c9-c989-4d4a-b89f-9ff48d0599af,Aquamarine
JTHHP5BC1F5058079,3,WP1AE2A23BL194358,Viper,Dodge,5/29/2019 8:24,1G6DP1E38C0521707,2012,a23fbef6-72dd-49da-a4c6-ab2f9e656cdf,Turquoise
WBSPM9C59AE517471,1,WAUGFAFC8EN027748,Suburban,Chevrolet,8/24/2021 1:49,5XYZG3AB2CG224941,1985,edd54139-fd90-4ee8-8894-27f85ee37a42,Blue
1G4GH5E39CF544033,2,1GYEE637190867675,Electra,Buick,10/12/2017 0:32,1FTEX1EWXAK932942,2010,16e26d65-a657-48c3-9240-f7903e5406ec,Fuscia
1C4RJEAG2FC802442,2,1FTKR1AD7AP222062,F430,Ferrari,6/2/2019 9:24,1N6AA0CC1FN458730,1998,6343674a-bc6d-4183-bdbb-5e997ad64056,Orange
5LMJJ2H56DE166330,3,19VDE1F55FE590555,xB,Scion,1/11/2015 2:39,5TDDCRFH7ES080329,2007,e260b9cb-e4fd-48b1-9b5d-fd5f5516a1f4,Orange
19XFB4F24EE713311,1,1YVHZ8BH7B5394767,Rodeo,Isuzu,12/4/2015 19:19,1G6DF5EYXB0489976,2003,651efcad-1703-454a-8e1d-f85022b70409,Red
1FMCU0C71CK957555,1,WBAGG83411D596329,Electra,Buick,7/1/2021 2:29,1G4HR54K45U010110,2001,b40a2c03-64b8-4d68-b4f4-3ed66cf011bf,Aquamarine
JM1NC2EFXA0731977,1,3C4PDCBBXET380297,Impreza,Subaru,10/5/2021 18:53,3GYFNEE33ES415660,2009,87e4f2a3-3ffa-44b7-bd58-cdd7116729cc,Khaki
1C6RD7NT3CS783791,1,1HGCR6F56FA640260,RX,Lexus,5/8/2017 23:12,WDDHF7GB8EA960160,1993,e6f4db07-7634-429e-92b9-c1295d7a1ebb,Maroon
5XYKT3A69FG422808,2,WA1CMAFE9BD262129,Sonoma,GMC,5/4/2017 1:06,NM0KS6BN7AT491842,2005,5df7c17f-7c14-4dda-bfc4-23ca5aaa6ff6,Yellow
1D7RB1GT4AS733395,3,2C4JDGAG6CR838170,944,Porsche,1/10/2018 22:57,5GALRAED3AJ615868,2011,bd24330b-5156-466a-add4-ee8743851ae4,Teal
WP0CA2A8XES791255,3,1G6DE5E54D0297948,Ram 2500,Dodge,3/16/2015 15:57,JTHBK1GG3F2577676,2012,eeb9f2ec-fc26-4ad2-82c5-b38ece0c2b42,Puce
JN1BY0AR6AM410880,1,WVGAV7AX6CW147981,Grand Prix,Pontiac,4/12/2015 12:07,JTHFE2C23A2661093,2001,fab4a024-5345-4ded-becd-45b0dee993f2,Violet
19UUA9F73EA940190,2,SCBLE47K59C028100,Escalade,Cadillac,7/18/2017 7:55,1N6AF0KX0FN508264,2012,43dcb2ee-4ed3-403d-a3b1-e96b43b15a19,Maroon
1FTSW3B50AE296964,1,JTJHY7AXXB4434399,G,Infiniti,12/3/2021 14:47,KMHTC6ADXFU228240,2010,e19108ca-1b77-486e-8720-326749f6a029,Red
WDDHH8JBXFB040485,2,1N6AA0EK5FN066953,LHS,Chrysler,8/20/2019 13:01,5YMKT6C5XF0775450,2008,9f2b0ab0-3f00-457e-8e6d-de924abac91d,Khaki
SCFEBBAC1AG517323,1,3C4PDCDG5DT701220,Yukon XL 2500,GMC,11/30/2019 17:31,KNAFU6A28A5431012,1995,eee208c7-33c4-463a-8650-967808b91e95,Fuscia
1GYFK26259R449766,1,WAULC68E12A207045,FJ Cruiser,Toyota,7/20/2018 2:31,WBAEK134X6C949130,1996,7c3b9fc5-8a20-4ab1-a8de-06bce97dde5e,Aquamarine
1C4SDJCT0FC879435,2,1FBSS3BL7AD061417,IPL G,Infiniti,8/31/2019 21:44,JH4CU2F65BC144555,2000,f14ac0b9-992a-469b-8e0c-5fcfccea8eaa,Blue
1G6DG5EG8A0711014,1,1G6YV34A455067738,Leone,Subaru,1/31/2018 3:18,3D7TT2HT7AG460810,2006,8b87e396-c252-483b-9a79-585ca64238cc,Turquoise
1G6DZ67A080203705,2,3C4PDDAG5FT774987,IPL G,Infiniti,7/10/2015 5:31,WBAKE3C53DE448077,1993,90bed82b-0e29-4c98-abc6-ab5698282e21,Turquoise
SCBLF34FX5C611674,1,JN8AF5MV4FT620125,Escort,Ford,8/6/2018 4:21,WAUPFAFM9BA085542,2005,0ee237ed-900c-461b-baf3-6c34918076f3,Teal
WP0CA2A89FS196902,1,JH4KB16567C298430,Outlander,Mitsubishi,4/17/2015 20:52,2FMHK6DC0AB429961,2003,727f34a2-a465-4467-89d7-12f3a56a6a29,Blue
1C6RD7LP0CS758322,1,WVGEP9BP6FD833279,Quest,Nissan,2/14/2018 19:19,JHMZF1C43BS409402,1995,f209a6cd-f316-4ee6-b8ec-573953fb95ec,Turquoise
3C6TD4CT7CG931973,2,1D7RE3BK9AS038542,XJ,Jaguar,9/11/2017 1:53,KNAFU6A29B5192975,2012,36335dc3-e388-4752-81f2-7d837df977e0,Aquamarine
KMHGH4JH4EU522967,1,WBA3A5C54EJ043608,Golf III,Volkswagen,2/8/2018 9:59,WP0AA2A93FS976197,2006,d211a087-833d-4ec8-845d-1f1f45920c1a,Green
WAUAH74F39N327770,3,WBAKG1C58DJ993861,New Yorker,Chrysler,8/12/2017 9:14,5N1AT2ML1EC207249,1998,f5284cbb-119e-4cb9-b9cf-9f74fbf17c49,Green
5N1BA0ND1FN303393,3,19UUA66277A399571,7 Series,BMW,12/6/2016 8:30,WAUSF78E17A882409,2006,4e1833d7-1b3f-44f3-9fd7-63d91517a6bf,Green
WAUKG74F76N781099,1,1G6DM5EY4B0453402,Caliber,Dodge,9/18/2021 2:30,4T3BA3BB1EU652232,2004,beab5654-8efd-4117-b96f-17e12c1525e9,Green
WAUDH94F87N988622,2,JM1GJ1T56F1089164,7 Series,BMW,5/30/2017 18:51,WAULC68E45A268250,2007,3e413818-9d1b-4625-a12e-0b89449c40cd,Khaki
WAUAH98E98A486747,1,2D4RN4DG9BR297661,Aztek,Pontiac,10/16/2019 5:06,1C3CCBBB0EN785178,1996,396e2c72-635d-4a68-a672-ace18a4da098,Maroon
1GD22ZCG5CZ070833,2,5FRYD3H21GB965250,Paseo,Toyota,11/15/2019 9:08,3D73M4CL1AG774310,2011,b875459a-d4e1-4590-87ca-eeeb7be334aa,Yellow
NM0GE9F73F1430727,1,1C4RDJDG9CC091748,E-Class,Mercedes-Benz,9/16/2016 20:47,WAUKFAFL1BA731044,2009,036f0176-07e4-45a0-a0a6-cd9a6546bdbf,Fuscia
1D7RE2GK6BS617752,2,WAU3FAFR1AA309606,Thunderbird,Ford,10/10/2018 17:47,1G6KF54983U125597,2008,5c932a86-427f-4515-84c0-e467c953b0c4,Mauv
1GYS4LKJ6FR771338,3,WA1YD64B95N303076,S80,Volvo,1/22/2019 17:17,1C4RDHEG2DC578170,1994,3ae26090-bb2e-44d5-8c06-43a8a1334b96,Maroon
2HNYB1H61CH658397,1,WBA3T3C54F5594419,V40,Volvo,10/15/2018 4:48,1D4PU4GK8AW840840,2001,55ae29e8-8d89-42a7-94de-c7f8ce2d8045,Aquamarine
SCBGU3ZA8FC173551,3,JH4KB16697C307632,CX-9,Mazda,6/8/2015 1:56,SCBFR7ZA2DC257091,1994,13650ed4-f273-46f3-8347-5bc51dcdf27b,Orange
WA1VFAFL6DA395310,3,5N1AN0NW1DN126911,4000CS Quattro,Audi,9/20/2019 7:39,3GTU2YEJ3DG455146,1999,2970a0d3-c569-412c-a152-fa2e5440ccad,Purple
YV4612HKXF1594928,3,WAUUL58E55A652049,Tacoma,Toyota,7/30/2017 13:01,1C3CDFEB0ED098479,1991,577a6090-099d-471a-ac3c-3072e6e307d1,Green
YV4852CZ6A1666864,1,5TDDK3DC8FS177421,Cayman,Porsche,6/24/2015 0:06,JM1DE1KY6C0800141,1996,1e96a995-981e-4adc-be9c-927d5e15ab68,Turquoise
WUAW2AFC3FN088567,1,WAUVC68E22A933781,GS,Lexus,6/23/2021 4:41,1D7RW3GK6AS301415,2007,79d640ab-1019-4394-9a01-e10f4ac15425,Khaki
JTHFE2C2XB2949016,2,19VDE2E58EE367299,Corvette,Chevrolet,5/4/2018 10:50,JH4KB2F65CC006338,2002,31474e0e-ef95-4658-b28e-a2f135bf3147,Puce
WBAGL83574D789822,1,1G6AX5S35E0860006,Grand Vitara,Suzuki,10/10/2015 17:05,JTHKD5BH5B2301768,1998,4e5fddfd-d164-4511-adac-c6eb14bf98e5,Maroon
1D7RV1CT4AS374661,3,SCBZK25E03C261698,W201,Mercedes-Benz,2/14/2017 12:12,WAUFFAFL7EA761168,2002,54c314de-5fbc-41f4-b662-211f04c463d9,Pink
WVGEF9BP6DD546802,2,WBAVT13516A848382,Wrangler,Jeep,1/19/2018 3:37,19UUB2F5XFA852340,2011,a98e02b8-71bd-47c4-8e27-5a865b24d864,Turquoise
19VDE2E56EE279870,3,JN1CV6FE3DM601117,Mark VIII,Lincoln,5/4/2015 23:33,SALAG2D43CA357625,1992,ec0b9ef2-77f2-40a6-afe4-e99d6ef8a49b,Aquamarine
WBA3G7C54EF536556,3,WA1AY94L47D734028,Range Rover Evoque,Land Rover,11/6/2016 14:17,JHMFA3F28BS839661,1957,0894f6c5-224b-4a85-8674-853a408c997c,Purple
1C6RD7FP2CS118768,1,1C3BCBFG9EN869579,Pilot,Honda,11/9/2017 16:01,5N1AN0NU0CN049784,2004,dcbfc0a9-d929-4638-9d70-4ea17323db74,Goldenrod
WAUMFAFL4CA527266,2,WBAEV33473K264328,Sable,Mercury,5/7/2017 12:01,WDDHF7GB1EA799229,2006,e4e4ef5a-5159-441d-94fc-be0e309a9c54,Orange
3D73M3CL9AG210219,1,JM1DE1KY4E0138434,S8,Audi,3/5/2015 15:04,1N6AF0LX9EN522192,2012,5edd357f-be70-4c20-b78e-33d31fc6c8fd,Violet
1G6DS57V480237535,2,JTHBE1D27F5028674,Endeavor,Mitsubishi,6/6/2016 9:06,2T1KE4EE7AC408959,1999,615c67b7-cfd9-4c1c-aeaf-d75d08b63a9b,Blue
WUARL48H65K781802,1,19XFA1E38AE442162,Park Avenue,Buick,7/26/2015 14:39,WA1LYAFE3AD285604,2000,348cc23c-a5cc-4dbe-a5a7-0b8601884bfa,Teal
5N1AN0NW9EN479706,2,3D4PG4FB3BT887807,M3,BMW,11/4/2019 2:10,1G6KF54954U134257,1999,5dc29df7-af83-48d6-ab6d-c2817e228bed,Goldenrod
JN8AF5MR9CT000241,2,1GYFK26289R929445,Galant,Mitsubishi,1/20/2016 20:41,137FA84371E009764,1999,c0becee9-915d-4efd-8c5e-6fa5da467804,Fuscia
WBADS43402G548198,2,3C6JD6EP7CG887993,S-Class,Mercedes-Benz,9/11/2018 3:19,3C3CFFER6FT562779,2004,dd684ce8-8d8f-4d36-991b-3ac49cb43ca5,Orange
1D4RD3GGXBC482514,3,KL4CJGSB8DB691459,Forester,Subaru,6/1/2017 14:52,1VWAS7A37FC691354,1968,165df568-4c77-4677-8c50-c3a98f6ddf1a,Yellow
2B3CK4CV0AH430776,2,JH4KB16518C240811,911,Porsche,12/30/2021 16:02,WAUDGAFLXAA047873,1993,bf5ae5cd-bdbf-479e-8397-512edb99e272,Puce
2T1BURHE5FC544364,1,SALAF2D43AA179232,SC,Lexus,3/3/2019 13:24,5LMJJ3H52CE253274,2011,f621d580-1dc5-4692-b99a-54b38cb67625,Indigo
WAUMR44E86N992403,1,JTHBF5C20D5283430,Azera,Hyundai,8/28/2018 20:50,3D73M4HL6BG870248,1995,ec6a89ce-f510-4122-a09d-30a469a66331,Goldenrod
JN8AE2KP2F9865511,2,KL4CJFSB5EB775394,Tiburon,Hyundai,11/2/2017 17:02,JN8AE2KP7C9731654,1997,f851f4f0-4061-4726-b7c8-e92063e5ab8b,Goldenrod
WP0CA2A8XAS585282,2,1NXBE4EE5AZ432210,Titan,Nissan,6/29/2018 3:08,KNADH4A36A6276611,2008,84aa009e-bddc-4755-b19d-c301b161efba,Fuscia
3VW1K7AJ1BM816792,2,TRUWX28N721932796,Legend,Acura,1/18/2020 1:33,WAUAF78EX8A257813,1989,2ebe8305-6453-4bd6-9435-5192d147e3d5,Fuscia
5N1AA0ND6EN626459,2,1G6AM5SX5E0557397,Nitro,Dodge,1/3/2021 10:10,2T1BURHE9EC849686,1995,be6ba00c-cfeb-448a-97d0-0a0aa2eb0a15,Crimson
WAUMGBFL6AA884710,3,WBXPA73434W719624,RX-7,Mazda,8/27/2017 8:09,JH4DC53894S884505,1988,5a7ad843-b16b-40a5-9b4c-742b35418cab,Blue
KMHDB8AE8CU852349,1,WBAGH03471D833999,6000,Pontiac,9/23/2015 23:33,1G6KD57Y89U704462,2011,91260ca7-42ef-4777-9152-a7353f5db4ad,Mauv
1FT7W2A63EE496480,2,3VWKP7AJ5DM999042,GS,Lexus,3/30/2017 12:22,1FTEX1EW9AF071262,2011,25387f12-369e-4d95-80a3-bd150324d51b,Red
3C4PDDBG1CT844852,1,KNAGM4AD7D5795873,Montero,Mitsubishi,3/26/2017 1:28,3C6JD7AP8CG474539,1985,7f021b2b-e1e0-4421-9c41-4ee9fc829ff8,Red
WAUDF48H98K904279,2,5YMGZ0C51E0574293,Accord,Honda,10/2/2021 19:02,JH4DC53884S475959,1983,d46b2a83-ae97-45df-b4e7-8c42de3db864,Orange
1FTWW3B54AE287993,1,JTDKDTB39F1679811,6 Series,BMW,12/25/2016 15:02,JN8AS5MT6BW029717,1993,3240d510-eb02-4052-b8c1-76f4d2de0f85,Blue
KMHCT4AE9FU866086,3,WBADN53411G447022,Sportage,Kia,2/5/2019 21:10,1FTWX3A51AE224638,1997,fcf8a31d-dd61-45bd-8c8e-66793a93e34e,Fuscia
1HGCP2E3XBA995621,3,WBA3A5C54FP432974,Eurovan,Volkswagen,12/7/2018 0:17,5N1AN0NU5CN450635,2007,a74bc5aa-e83d-4507-bde0-7ce453f38572,Khaki
5GAKRCEDXCJ443476,2,1B3CC1FB9AN886201,GT,Ford,7/30/2019 6:20,2HNYD2H69CH786984,1999,dfd5972f-5094-4a21-aa6c-b8cf9d980029,Indigo
